university_title_full,course_local_id,course_title_full,course_level,course_track,course_semester,course_credits,course_credits_type,course_link_descrip
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,F,Physics,Bachelor,Informatics Engineering,"Spring, Fall",7.5,ECTS,https://www.fib.upc.edu/en/studies/bachelors-degrees/bachelor-degree-informatics-engineering/curriculum/syllabus/F
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,FM,Fundamentals of Mathematics,Bachelor,Informatics Engineering,"Spring, Fall",7.5,ECTS,https://www.fib.upc.edu/en/studies/bachelors-degrees/bachelor-degree-informatics-engineering/curriculum/syllabus/FM
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,IC,Introduction to Computers,Bachelor,Informatics Engineering,"Spring, Fall",7.5,ECTS,https://www.fib.upc.edu/en/studies/bachelors-degrees/bachelor-degree-informatics-engineering/curriculum/syllabus/IC
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,PRO1,Programming I,Bachelor,Informatics Engineering,"Spring, Fall",7.5,ECTS,https://www.fib.upc.edu/en/studies/bachelors-degrees/bachelor-degree-informatics-engineering/curriculum/syllabus/PRO1
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,AMMM,Algorithmic Methods for Mathematical Models,Master,Innovation and Research in Informatics,"Spring, Fall",6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/AMMM-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,CPDS,"Concurrence, Parallelism and Distributed Systems",Master,Innovation and Research in Informatics,"Spring, Fall",6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/CPDS-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,SIRI,Seminars of Innovation and Research in Informatics,Master,Innovation and Research in Informatics,"Spring, Fall",6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/SIRI-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,SMDE,Statistical Modelling and Design of Experiments,Master,Innovation and Research in Informatics,"Spring, Fall",6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/SMDE-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,TMIRI,Techniques and Methodology of Innovation and Research in Informatics,Master,Innovation and Research in Informatics,"Spring, Fall",6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/TMIRI-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,ADS,Advanced Data Structures,Master,Innovation and Research in Informatics,Spring,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/ADS-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,CC,Computational Complexity,Master,Innovation and Research in Informatics,Spring,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/CC-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,CPS,Combinatorial Problem Solving,Master,Innovation and Research in Informatics,Spring,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/CPS-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,RA,Randomized Algorithms,Master,Innovation and Research in Informatics,Fall,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/RA-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,ADM,Algorithmics for Data Mining,Master,Innovation and Research in Informatics,Spring,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/ADM-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,AGT,Algorithmic Game Theory,Master,Innovation and Research in Informatics,Fall,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/AGT-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,AVLSI,Algorithms for VLSI,Master,Innovation and Research in Informatics,Fall,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/AVLSI-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,CSN,Complex and Social Networks,Master,Innovation and Research in Informatics,Fall,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/CSN-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,A3DM,Advanced 3d Modeling,Master,Innovation and Research in Informatics,Spring,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/A3DM-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,FRR,Fast Realistic Rendering,Master,Innovation and Research in Informatics,Spring,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/FRR-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,GTCG,Geometric Tools for Computer Graphics,Master,Innovation and Research in Informatics,Fall,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/GTCG-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,VAR,Virtual and Augmented Reality,Master,Innovation and Research in Informatics,Fall,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/VAR-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,CA,Computer Animation,Master,Innovation and Research in Informatics,Fall,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/CA-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,PEGTI,Strategic Planning and IT Governance,Master,Informatics Engineering,Fall,4.5,ECTS,https://www.fib.upc.edu/en/studies/masters/master-informatics-engineering/curriculum/syllabus/PEGTI-MEI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,VPEI,Viability of Innovative Business Projects,Master,Informatics Engineering,Spring,4.5,ECTS,https://www.fib.upc.edu/en/studies/masters/master-informatics-engineering/curriculum/syllabus/VPEI-MEI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,ACAP,High Performance Computer Architecture,Master,Informatics Engineering,Fall,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-informatics-engineering/curriculum/syllabus/ACAP-MEI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,CSI,Computing and Intelligent Systems,Master,Informatics Engineering,Fall,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-informatics-engineering/curriculum/syllabus/CSI-MEI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,DGSI,Development and Management of Information Systems,Master,Informatics Engineering,Spring,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-informatics-engineering/curriculum/syllabus/DGSI-MEI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,ISDCM,"Internet, Security and Multimedia Contents Distribution",Master,Informatics Engineering,Spring,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-informatics-engineering/curriculum/syllabus/ISDCM-MEI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,SEU,Embedded and Ubiquous Systems,Master,Informatics Engineering,Fall,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-informatics-engineering/curriculum/syllabus/SEU-MEI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,SGI,Interactive Graphic Systems,Master,Informatics Engineering,Fall,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-informatics-engineering/curriculum/syllabus/SGI-MEI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,GPR,Geometricy Processing,Master,Innovation and Research in Informatics,Fall,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/GPR-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,SRGGE,Scalable Rendering for Graphics and Game Engines,Master,Innovation and Research in Informatics,Spring,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/SRGGE-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,SV,Scientific Visualization,Master,Innovation and Research in Informatics,Fall,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/SV-MIRI
